39 39
29
3 3	36 36
3 4	9 24
3 5	36 22
3 6	13 18
3 7	36 15
3 8	18 10
3 9	36 27
3 10	18 0
3 11	9 28
3 15	36 0
4 3	9 21
4 4	0 35
4 5	9 16
4 6	0 8
4 8	0 0
4 9	0 26
4 12	0 14
4 15	12 24
4 16	9 0
5 3	4 36
5 4	4 32
5 5	4 27
5 6	4 21
5 8	16 18
5 10	4 11
5 11	4 0
5 13	16 26
5 18	13 0
15 39	21 0
