39 39
29
3 3	31 13
3 4	31 0
3 5	27 16
3 6	4 23
3 7	27 21
3 8	4 0
3 9	36 4
3 10	4 29
3 11	27 28
3 15	4 8
4 3	35 31
4 4	0 27
4 5	35 34
4 6	30 25
4 8	0 31
4 9	30 16
4 12	0 15
4 15	0 0
4 16	22 0
5 3	31 4
5 4	34 0
5 5	26 0
5 6	31 7
5 8	30 31
5 10	22 29
5 11	26 5
5 13	22 16
5 18	34 13
15 39	7 0
