39 39
29
3 3	36 32
3 4	36 35
3 5	0 25
3 6	36 26
3 7	36 19
3 8	36 11
3 9	0 30
3 10	0 15
3 11	36 0
3 15	0 0
4 3	28 27
4 4	32 30
4 5	32 34
4 6	32 24
4 8	32 16
4 9	28 30
4 12	28 15
4 15	28 0
4 16	32 0
5 3	18 32
5 4	18 35
5 5	18 27
5 6	18 21
5 8	23 18
5 10	18 11
5 11	18 0
5 13	23 26
5 18	23 0
15 39	3 0
